,Rating,reviewTime,UserId,ItemId,reviewText,unixReviewTime,1,2,3,4,5
132,5,"05 4, 2017",AKQ9DH3HRPHW3,B00006L9LC,"This is just adorable compact fragrance. It comes in a gorgeous silver compact. A cute carry pouch. And to my surprise- a refill. I am Uber pleased with this purchase. Oh and the D&G Lifht Blue is one of my forever favorite fragrances.

Love",1493856000,0,0,0,0,1
1823,5,"12 15, 2017",A1X15KWJ11IC1P,B000URXP6E,"Lovely product and works great, except the artificial coloring :(",1513296000,0,0,0,0,1
3575,5,"03 1, 2013",A15IDG691XH2XI,B0012Y0ZG2,If you love Halloween and candy corn you are going to go nuts for this!!! I live it and use this all year round! Thanks philosophy for this great irem,1362096000,0,0,0,0,1
2283,5,"04 20, 2015",A3MWSMK06UU6BZ,B000URXP6E,love it...wish I could find the hand lotion!,1429488000,0,0,0,0,1
2412,4,"07 31, 2014",A3PE70GMGCY2AL,B000URXP6E,"Smells great. I'm looking for the cologne that matches. I have the Green Tea cologne and it's a great match for the Green Tea Body Wash. I wish this product offered the same. My complaint that the scent only lasts about 4 hours is the same as that for Green Tea. If you are looking for a very fresh scent (especially if you are a guy), this is a product I recommend.",1406764800,0,0,0,1,0
3502,5,"09 19, 2013",A3N81O636W6H9A,B0012Y0ZG2,"Having given up on bar soap and its innate ability to dry my skin out, I have been using shower gel for years.  Until recently, I've had no preference to any brand, as I felt they were all pretty similar.  After seeing some of the awards that Pattern Body Wash has received in various men's magazines I decided to try it for myself.

On opening the bottle, the fragrance was not overpowering or chemical-smelling, at all;  in fact, it was quite the opposite,  It has a great aroma with, not really a subtle scent, rather more subdued, and certainly not overwhelming.  In addition to nutmeg, I have also tried citrus, eucalyptus, cucumber, sage and black pepper, and all of them have been outstanding fragrances.  I was also impressed by the small amount of gel needed to clean the entire body.  Many of the other brands that I have tried seem to over-foam and usually leave a little residue that needs a secondary rinse to remove.  This is not the case with any of the Pattern products I have tried.  The body wash is silky, with just the right amount of lather, and it cleans exceptionally well.

One of the other areas, in which I compare body washes, is the dryness that ensues after toweling off after a shower.  Pattern is exceptional in this realm and leaves the skin smooth and soft, even in a very dry climate with little humidity.

The price point is certainly several dollars more than I would normally spend on a standard body wash, but in all truth, one bottle lasts longer than all of the other companies I have tried over the past 20 years.

Great job Pattern on a fantastic product, you have made a routine shower a much better experience.",1379548800,0,0,0,0,1
4120,5,"03 8, 2016",A345PQ5PIJVC67,B001OHV1H4,"AS awesome as this product is, it HAS been discontinued by the makers. The people selling this on here, including the shampoos and conditioners ARE price gouging you and who knows how OLD it is..  Very Sad",1457395200,0,0,0,0,1
5185,5,"01 14, 2014",A3QNQQKJTL76H0,B00G5L867C,"This product is a minor update to the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Philips-Sonicare-HX6311-02-Sonicare-for-Kids-Rechargeable-Electric-Toothbrush/dp/B002CVTVUA/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Philips Sonicare HX6311/02 Sonicare for Kids Rechargeable Electric Toothbrush</a>&nbsp;that Phillips released several years ago. All the same features are here, from what I can tell, and the changes are only cosmetic. The revision is so minor that it doesn't even have its own model number. Only the number after the slash has changed (from 02 to 07).

Aside from the silly camelCased marketing terms (KidTimer, KidPacer), it's the same product as the older revision. Two power modes let your child ease into the brushing experience. For new Sonicare users, they may feel some tingling in their gums. This goes away after a few days as the gums adjust to the new sensation. The KidPacer (QuadTimer for the adult line) stops and beeps to tell your child to move on to another section of his or her mouth.

I love the Sonicare line and own 3 other toothbrushes (I keep one at the office, home, parent's home when I visit). My dentist recommnends Sonicare as well. Their kids line offers the same quality construction and ease of use as the adult lines. The charger base is interchangeable and usable with other Sonicare products.",1389657600,0,0,0,0,1
2111,5,"02 22, 2016",A3IV4X425QSDVA,B000URXP6E,"Although higher priced than those at the store, this puff is very soft and I'm glad I purchased it.",1456099200,0,0,0,0,1
2984,5,"07 18, 2016",A23TC03PKGDVQM,B0012Y0ZG2,favorite product by  avon,1468800000,0,0,0,0,1
1252,5,"11 19, 2015",A21YAPFNXKFIUC,B000FI4S1E,I love the fresh smell of Dial Mountain Fresh and also that it promotes Antibacterial Wash.  Great Product.  It arrived on time and was as described.,1447891200,0,0,0,0,1
4542,3,"02 24, 2014",A3A5ATNHC0QPQA,B004IQA3TU,"I was disappointed in this product, it just didn't work for me.  I use Alterna shampoo and conditioner, so I thought this would be great on my fine hair.  It just didn't add very much shine, like I was hoping.  It did smell nice, but I think there are other products that will give my hair more shine for the money.",1393200000,0,0,1,0,0
8367,5,"08 19, 2016",A2VQYDXVJNL4DB,B00YATN5GI,I love it. Easy to put together and it looks so elegant in my den! I recommend this to all!,1471564800,0,0,0,0,1
2270,5,"05 21, 2015",A2KUYYA021Y4KO,B000URXP6E,Need a bigger bottle!,1432166400,0,0,0,0,1
7295,5,"10 20, 2015",AZ9EXMA8Q8126,B003FMSBSI,"Very good product, I've been using it for years and I haven't found anything that works better.",1445299200,0,0,0,0,1
7181,5,"12 4, 2017",A3AWLFMKGRMI5M,B000X8H61A,"I suffer from chronic dry eyes and used to have red, inflamed eyelids  ~  being on the computer too much doesn't help ;-) ~ this product is excellent for keeping the delicate eyelid skin hydrated and healthy. I'm allergic to all sorts of cosmetics and this has never caused any irritation. I still have the dry eyes but at least it doesn't create as much of a cosmetic problem. Been using this product for many years now and I hope they never stop making it!",1512345600,0,0,0,0,1
1900,5,"02 1, 2017",A2IPGCHPX1WYHH,B000URXP6E,I have really sensitive skin therefore never was able to use any type of scrub all my life.  But a friend advice me to try this one because my skin started to smell pretty bad during certain  times of the month.  Causes no irritation and I was able to use it everyday.  Seems to get rid of the oily smell from my face.,1485907200,0,0,0,0,1
2682,5,"09 10, 2017",A2PD27UKAD3Q00,B0010ZBORW,"The Urban Spa Microfiber Bath Pillow makes soaking in the tub extra nice and so much more comfortable for my head and neck. Just fill it with air and attach it to the inside of your tub where you plan to rest your head. The microfiber is nicer than the all plastic bath pillows I've used in the past plus it look a lot nicer too. It's great if you're like me and love to just soak in the tub while reading a book or while just relaxing and listening to music (with the radio or stereo a safe distance from the tub of course!).

What a great way to pamper yourself without spending boutique prices to do it!",1505001600,0,0,0,0,1
5862,5,"08 31, 2017",A2BAAKZHSUGCDP,B00W259T7G,"This triple-milled soap is pure and smooth and a real pleasure to use. The scent is very mild - just smells fresh and clean! It quickly works into a pleasing foamy lather and leaves the skin feeling soft, supple and clean. The only possible drawback is the size of the bar; it's really thick and oversized and a bit unwieldy when new. I assume it will soon wear down into a more comfortable shape. On the other hand, I expect the bar to last a really long time!",1504137600,0,0,0,0,1
